weight,subject,predicate,object,evaluated_sentence,makes_sense,confidence
mid,oval,has,wheel,It is NOT likely for oval to have wheel.,1.0,0.95
mid,cone,has,wheel,It is NOT likely for cone to have wheel.,0.0,0.78
high,tree,has,trunk,It is likely for tree to have trunk.,1.0,0.95
high,elephant,has,trunk,It is likely for elephant to have trunk.,0.0,0.94
high,garage,has,trunk,It is likely for garage to have trunk.,0.0,0.95
mid,animal,has,trunk,It is NOT likely for animal to have trunk.,0.0,0.95
mid,person,has,trunk,It is NOT likely for person to have trunk.,1.0,0.95
mid,mountain,has,trunk,It is NOT likely for mountain to have trunk.,0.0,0.95
mid,tree,has,window,It is NOT likely for tree to have window.,0.0,0.95
high,window,on,building,It is likely to see window on building.,1.0,0.95
high,door,on,building,It is likely to see door on building.,1.0,0.87
high,roof,on,building,It is likely to see roof on building.,1.0,0.95
high,wall,on,building,It is likely to see wall on building.,1.0,0.95
high,floor,on,building,It is likely to see floor on building.,1.0,0.95
mid,furniture,on,building,It is NOT likely to see furniture on building.,1.0,0.95
mid,appliance,on,building,It is NOT likely to see appliance on building.,1.0,0.56
mid,utensil,on,building,It is NOT likely to see utensil on building.,1.0,0.68
mid,tool,on,building,It is NOT likely to see tool on building.,0.0,0.95
mid,food,on,building,It is NOT likely to see food on building.,1.0,0.95
mid,window,on,number,It is NOT likely to see window on number.,0.0,0.95
high,stop,on,sign,It is likely to see stop on sign.,1.0,0.95
high,yield,on,sign,It is likely to see yield on sign.,1.0,0.95
high,do not enter,on,sign,It is likely to see do not enter on sign.,1.0,0.95
high,one way,on,sign,It is likely to see one way on sign.,1.0,0.95
high,no parking,on,sign,It is likely to see no parking on sign.,1.0,0.95
high,letter,on,train,It is likely to see letter on train.,1.0,0.95
mid,cat,on,sign,It is NOT likely to see cat on sign.,1.0,0.95
mid,house,on,sign,It is NOT likely to see house on sign.,1.0,0.95
mid,bread,on,sign,It is NOT likely to see bread on sign.,1.0,0.93
mid,milk,on,sign,It is NOT likely to see milk on sign.,0.0,0.93
mid,water,on,sign,It is NOT likely to see water on sign.,0.0,0.95
mid,letter,on,number,It is NOT likely to see letter on number.,0.0,0.95
high,home,on,man,It is likely to see home on man.,0.0,0.95
high,work,on,man,It is likely to see work on man.,0.0,0.95
high,school,on,man,It is likely to see school on man.,0.0,0.95
high,hospital,on,man,It is likely to see hospital on man.,0.0,0.68
high,church,on,man,It is likely to see church on man.,0.0,0.84
high,hat,on,baseball cap,It is likely to see hat on baseball cap.,0.0,0.95
mid,dirt,on,man,It is NOT likely to see dirt on man.,1.0,0.95
mid,grass,on,man,It is NOT likely to see grass on man.,1.0,0.95
mid,snow,on,man,It is NOT likely to see snow on man.,1.0,0.95
mid,air,on,man,It is NOT likely to see air on man.,1.0,0.95
mid,hat,on,window,It is NOT likely to see hat on window.,1.0,0.95
high,dish,on,plate,It is likely to see dish on plate.,1.0,0.65
high,food,on,plate,It is likely to see food on plate.,1.0,0.95
high,utensil,on,plate,It is likely to see utensil on plate.,1.0,0.72
high,table,on,plate,It is likely to see table on plate.,0.0,0.95
high,chair,on,plate,It is likely to see chair on plate.,0.0,0.95
mid,toothbrush,on,plate,It is NOT likely to see toothbrush on plate.,0.0,0.95
mid,book,on,plate,It is NOT likely to see book on plate.,1.0,0.95
mid,lamp,on,plate,It is NOT likely to see lamp on plate.,1.0,0.95
mid,computer,on,plate,It is NOT likely to see computer on plate.,1.0,0.95
mid,pencil,on,plate,It is NOT likely to see pencil on plate.,1.0,0.95
high,hair,on,head,It is likely to see hair on head.,1.0,0.95
high,glasses,on,head,It is likely to see glasses on head.,1.0,0.95
high,helmet,on,head,It is likely to see helmet on head.,1.0,0.95
high,mask,on,head,It is likely to see mask on head.,1.0,0.95
mid,box,on,head,It is NOT likely to see box on head.,1.0,0.59
mid,vase,on,head,It is NOT likely to see vase on head.,1.0,0.95
mid,basket,on,head,It is NOT likely to see basket on head.,0.0,0.94
mid,hair,on,shoulder,It is NOT likely to see hair on shoulder.,0.0,0.95
high,vegetable,in,counter,It is likely to see vegetable in counter.,1.0,0.61
high,vegetable,in,table,It is likely to see vegetable in table.,1.0,0.95
high,vegetable,in,cupboard,It is likely to see vegetable in cupboard.,0.0,0.57
high,vegetable,in,sink,It is likely to see vegetable in sink.,1.0,0.95
mid,vegetable,in,bedroom,It is NOT likely to see vegetable in bedroom.,1.0,0.94
mid,vegetable,in,living room,It is NOT likely to see vegetable in living room.,0.0,0.76
mid,vegetable,in,den,It is NOT likely to see vegetable in den.,0.0,0.61
mid,vegetable,in,attic,It is NOT likely to see vegetable in attic.,0.0,0.54
high,table,in,house,It is likely to see table in house.,1.0,0.88
high,table,in,office,It is likely to see table in office.,1.0,0.95
high,table,in,bedroom,It is likely to see table in bedroom.,1.0,0.94
high,table,in,living room,It is likely to see table in living room.,0.0,0.52
mid,table,in,sky,It is NOT likely to see table in sky.,1.0,0.95
mid,table,in,car,It is NOT likely to see table in car.,1.0,0.7
mid,table,in,bathroom,It is NOT likely to see table in bathroom.,1.0,0.95
mid,table,in,kitchen,It is NOT likely to see table in kitchen.,0.0,0.95
high,food,in,jar,It is likely to see food in jar.,1.0,0.94
high,food,in,box,It is likely to see food in box.,1.0,0.95
high,food,in,fridge,It is likely to see food in fridge.,1.0,0.54
high,food,in,freezer,It is likely to see food in freezer.,1.0,0.95
mid,food,in,bedroom,It is NOT likely to see food in bedroom.,1.0,0.7
mid,food,in,closet,It is NOT likely to see food in closet.,1.0,0.55
mid,food,in,basement,It is NOT likely to see food in basement.,1.0,0.64
mid,food,in,attic,It is NOT likely to see food in attic.,1.0,0.75
high,flower,in,pot,It is likely to see flower in pot.,1.0,0.54
high,flower,in,field,It is likely to see flower in field.,1.0,0.55
high,flower,in,or meadow,It is likely to see flower in or meadow.,1.0,0.6
mid,cat,in,vase,It is NOT likely to see cat in vase.,1.0,0.61
mid,book,in,vase,It is NOT likely to see book in vase.,0.0,0.54
mid,pencil,in,vase,It is NOT likely to see pencil in vase.,0.0,0.74
mid,paper,in,vase,It is NOT likely to see paper in vase.,1.0,0.88
mid,flower,in,oven,It is NOT likely to see flower in oven.,1.0,0.95
mid,flower,in,book,It is NOT likely to see flower in book.,0.0,0.61
mid,flower,in,pencil,It is NOT likely to see flower in pencil.,1.0,0.95
mid,flower,in,phone,It is NOT likely to see flower in phone.,1.0,0.93
high,water,in,snow,It is likely to see water in snow.,0.0,0.95
high,air,in,snow,It is likely to see air in snow.,1.0,0.95
high,pole,in,park,It is likely to see pole in park.,0.0,0.94
high,pole,in,forest,It is likely to see pole in forest.,1.0,0.54
high,pole,in,river,It is likely to see pole in river.,1.0,0.95
high,pole,in,sea,It is likely to see pole in sea.,0.0,0.59
mid,car,in,snow,It is NOT likely to see car in snow.,0.0,0.56
mid,beach,in,snow,It is NOT likely to see beach in snow.,0.0,0.95
mid,pole,in,table,It is NOT likely to see pole in table.,0.0,0.95
mid,pole,in,chair,It is NOT likely to see pole in chair.,1.0,0.95
mid,pole,in,book,It is NOT likely to see pole in book.,1.0,0.54
mid,pole,in,bed,It is NOT likely to see pole in bed.,1.0,0.94
high,sidewalk,has,cars,It is likely for sidewalk to have cars.,0.0,0.95
high,sidewalk,has,trees,It is likely for sidewalk to have trees.,1.0,0.93
high,sidewalk,has,benches,It is likely for sidewalk to have benches.,1.0,0.7
high,sidewalk,has,lamps,It is likely for sidewalk to have lamps.,1.0,0.95
mid,sidewalk,has,hat,It is NOT likely for sidewalk to have hat.,1.0,0.95
mid,sidewalk,has,jacket,It is NOT likely for sidewalk to have jacket.,1.0,0.5
mid,sidewalk,has,vase,It is NOT likely for sidewalk to have vase.,0.0,0.95
mid,sidewalk,has,basket,It is NOT likely for sidewalk to have basket.,0.0,0.93
high,face,has,nose,It is likely for face to have nose.,1.0,0.94
high,face,has,mouth,It is likely for face to have mouth.,1.0,0.94
high,face,has,ears,It is likely for face to have ears.,1.0,0.95
high,face,has,and hair,It is likely for face to have and hair.,1.0,0.94
mid,face,has,eyes,It is NOT likely for face to have eyes.,1.0,0.68
mid,face,has,nose,It is NOT likely for face to have nose.,1.0,0.54
mid,face,has,mouth,It is NOT likely for face to have mouth.,1.0,0.66
mid,face,has,ears,It is NOT likely for face to have ears.,1.0,0.95
high,plane,has,engines,It is likely for plane to have engines.,1.0,0.95
high,plane,has,fuselage,It is likely for plane to have fuselage.,0.0,0.93
high,plane,has,airport,It is likely for plane to have airport.,0.0,0.95
high,plane,has,sky,It is likely for plane to have sky.,0.0,0.52
high,plane,has,clouds,It is likely for plane to have clouds.,0.0,0.93
high,plane,has,wind,It is likely for plane to have wind.,0.0,0.61
high,plane,has,sun,It is likely for plane to have sun.,0.0,0.6
mid,plane,has,house,It is NOT likely for plane to have house.,1.0,0.95
mid,plane,has,car,It is NOT likely for plane to have car.,0.0,0.95
mid,plane,has,tree,It is NOT likely for plane to have tree.,1.0,0.85
mid,plane,has,flower,It is NOT likely for plane to have flower.,0.0,0.95
high,car,has,wheel,It is likely for car to have wheel.,1.0,0.95
high,train,has,wheel,It is likely for train to have wheel.,0.0,0.55
high,bus,has,wheel,It is likely for bus to have wheel.,1.0,0.75
high,car,has,engine,It is likely for car to have engine.,1.0,0.95
high,car,has,seat,It is likely for car to have seat.,0.0,0.56
high,car,has,door,It is likely for car to have door.,1.0,0.94
high,car,has,mirror,It is likely for car to have mirror.,1.0,0.94
mid,box,has,wheel,It is NOT likely for box to have wheel.,1.0,0.93
mid,car,has,airplane,It is NOT likely for car to have airplane.,1.0,0.94
mid,car,has,bike,It is NOT likely for car to have bike.,1.0,0.95
mid,car,has,train,It is NOT likely for car to have train.,1.0,0.95
mid,car,has,bus,It is NOT likely for car to have bus.,0.0,0.61
mid,car,has,ship,It is NOT likely for car to have ship.,0.0,0.93
high,car,has,trunk,It is likely for car to have trunk.,1.0,0.61
high,house,has,trunk,It is likely for house to have trunk.,0.0,0.59
high,tree,has,leaves,It is likely for tree to have leaves.,0.0,0.74
high,tree,has,branches,It is likely for tree to have branches.,0.0,0.61
high,tree,has,bark,It is likely for tree to have bark.,1.0,0.7
high,tree,has,sap,It is likely for tree to have sap.,1.0,0.94
mid,house,has,trunk,It is NOT likely for house to have trunk.,1.0,0.94
mid,car,has,trunk,It is NOT likely for car to have trunk.,1.0,0.94
mid,tree,has,people,It is NOT likely for tree to have people.,0.0,0.61
mid,tree,has,rock,It is NOT likely for tree to have rock.,0.0,0.52
mid,tree,has,hat,It is NOT likely for tree to have hat.,1.0,0.7
mid,tree,has,box,It is NOT likely for tree to have box.,0.0,0.82
high,window,on,train,It is likely to see window on train.,1.0,0.75
high,window,on,house,It is likely to see window on house.,1.0,0.61
high,window,on,car,It is likely to see window on car.,1.0,0.94
high,window,on,bus,It is likely to see window on bus.,1.0,0.54
mid,window,on,people,It is NOT likely to see window on people.,1.0,0.94
mid,window,on,rock,It is NOT likely to see window on rock.,0.0,0.95
mid,window,on,tree,It is NOT likely to see window on tree.,1.0,0.9
mid,window,on,jacket,It is NOT likely to see window on jacket.,1.0,0.75
high,letter,on,sidewalk,It is likely to see letter on sidewalk.,1.0,0.95
high,letter,on,track,It is likely to see letter on track.,1.0,0.82
high,letter,on,street,It is likely to see letter on street.,1.0,0.68
high,letter,on,building,It is likely to see letter on building.,0.0,0.54
mid,letter,on,people,It is NOT likely to see letter on people.,1.0,0.94
mid,letter,on,rock,It is NOT likely to see letter on rock.,1.0,0.82
mid,letter,on,tree,It is NOT likely to see letter on tree.,0.0,0.76
mid,letter,on,jacket,It is NOT likely to see letter on jacket.,0.0,0.95
high,hat,on,fedora,It is likely to see hat on fedora.,0.0,0.53
high,hat,on,beanie,It is likely to see hat on beanie.,0.0,0.95
high,hat,on,cowboy hat,It is likely to see hat on cowboy hat.,0.0,0.95
high,hat,on,sun hat,It is likely to see hat on sun hat.,0.0,0.61
mid,water,on,man,It is NOT likely to see water on man.,1.0,0.75
mid,hat,on,book,It is NOT likely to see hat on book.,1.0,0.61
mid,hat,on,cat,It is NOT likely to see hat on cat.,1.0,0.61
mid,hat,on,person,It is NOT likely to see hat on person.,1.0,0.54
mid,hat,on,wall,It is NOT likely to see hat on wall.,1.0,0.54
high,food,on,apple,It is likely to see food on apple.,1.0,0.95
high,food,on,banana,It is likely to see food on banana.,0.0,0.95
high,food,on,orange,It is likely to see food on orange.,1.0,0.64
high,food,on,grape,It is likely to see food on grape.,1.0,0.95
high,food,on,strawberry,It is likely to see food on strawberry.,0.0,0.61
mid,food,on,sink,It is NOT likely to see food on sink.,1.0,0.7
mid,food,on,counter,It is NOT likely to see food on counter.,1.0,0.94
mid,food,on,stove,It is NOT likely to see food on stove.,0.0,0.95
mid,food,on,refrigerator,It is NOT likely to see food on refrigerator.,1.0,0.8
mid,food,on,table,It is NOT likely to see food on table.,1.0,0.54
high,hat,on,head,It is likely to see hat on head.,1.0,0.75
high,hair,on,person,It is likely to see hair on person.,1.0,0.7
high,hair,on,animal,It is likely to see hair on animal.,0.0,0.95
high,hair,on,doll,It is likely to see hair on doll.,1.0,0.54
high,hair,on,toy,It is likely to see hair on toy.,0.0,0.54
high,hair,on,statue,It is likely to see hair on statue.,1.0,0.75
mid,window,on,head,It is NOT likely to see window on head.,1.0,0.68
mid,book,on,head,It is NOT likely to see book on head.,1.0,0.82
mid,hair,on,leg,It is NOT likely to see hair on leg.,1.0,0.94
mid,hair,on,foot,It is NOT likely to see hair on foot.,1.0,0.82
mid,hair,on,arm,It is NOT likely to see hair on arm.,1.0,0.5
mid,hair,on,hand,It is NOT likely to see hair on hand.,1.0,0.95
high,station,near,track,It is likely to see station near track.,1.0,0.95
high,bus,near,track,It is likely to see bus near track.,0.0,0.84
high,car,near,track,It is likely to see car near track.,1.0,0.58
high,bike,near,track,It is likely to see bike near track.,0.0,0.52
high,pedestrian,near,track,It is likely to see pedestrian near track.,0.0,0.51
high,tree,near,house,It is likely to see tree near house.,1.0,0.95
high,tree,near,park,It is likely to see tree near park.,1.0,0.5
high,tree,near,garden,It is likely to see tree near garden.,0.0,0.95
high,tree,near,farm,It is likely to see tree near farm.,1.0,0.63
high,tree,near,field,It is likely to see tree near field.,1.0,0.95
mid,hat,near,track,It is NOT likely to see hat near track.,1.0,0.8
mid,drawer,near,track,It is NOT likely to see drawer near track.,1.0,0.65
mid,vase,near,track,It is NOT likely to see vase near track.,1.0,0.54
mid,basket,near,track,It is NOT likely to see basket near track.,1.0,0.83
mid,box,near,track,It is NOT likely to see box near track.,0.0,0.63
mid,tree,near,car,It is NOT likely to see tree near car.,1.0,0.94
mid,tree,near,house,It is NOT likely to see tree near house.,1.0,0.54
mid,tree,near,building,It is NOT likely to see tree near building.,1.0,0.61
mid,tree,near,street,It is NOT likely to see tree near street.,0.0,0.53
mid,tree,near,sidewalk,It is NOT likely to see tree near sidewalk.,1.0,0.95
high,taxi,near,track,It is likely to see taxi near track.,0.0,0.95
high,bicycle,near,track,It is likely to see bicycle near track.,1.0,0.56
high,train,near,track,It is likely to see train near track.,1.0,0.52
high,window,near,door,It is likely to see window near door.,1.0,0.58
high,window,near,wall,It is likely to see window near wall.,1.0,0.95
high,window,near,house,It is likely to see window near house.,1.0,0.94
high,window,near,building,It is likely to see window near building.,1.0,0.59
high,window,near,car,It is likely to see window near car.,1.0,0.91
mid,school,near,track,It is NOT likely to see school near track.,1.0,0.95
mid,house,near,track,It is NOT likely to see house near track.,1.0,0.54
mid,car,near,track,It is NOT likely to see car near track.,1.0,0.6
mid,park,near,track,It is NOT likely to see park near track.,1.0,0.61
mid,river,near,track,It is NOT likely to see river near track.,0.0,0.6
mid,window,near,door,It is NOT likely to see window near door.,1.0,0.84
mid,window,near,table,It is NOT likely to see window near table.,0.0,0.95
mid,window,near,chair,It is NOT likely to see window near chair.,1.0,0.51
mid,window,near,bed,It is NOT likely to see window near bed.,0.0,0.95
mid,window,near,closet,It is NOT likely to see window near closet.,1.0,0.56
high,pole,near,train,It is likely to see pole near train.,0.0,0.95
high,pole,near,building,It is likely to see pole near building.,1.0,0.95
high,pole,near,house,It is likely to see pole near house.,1.0,0.54
high,pole,near,car,It is likely to see pole near car.,1.0,0.95
high,pole,near,bus,It is likely to see pole near bus.,1.0,0.95
mid,home,near,track,It is NOT likely to see home near track.,1.0,0.89
mid,work,near,track,It is NOT likely to see work near track.,0.0,0.95
mid,grocery store,near,track,It is NOT likely to see grocery store near track.,0.0,0.7
mid,bank,near,track,It is NOT likely to see bank near track.,0.0,0.51
mid,pole,near,table,It is NOT likely to see pole near table.,1.0,0.86
mid,pole,near,chair,It is NOT likely to see pole near chair.,1.0,0.88
mid,pole,near,lamp,It is NOT likely to see pole near lamp.,0.0,0.5
mid,pole,near,door,It is NOT likely to see pole near door.,1.0,0.68
mid,pole,near,house,It is NOT likely to see pole near house.,1.0,0.57
high,house,near,sidewalk,It is likely to see house near sidewalk.,1.0,0.54
high,apartment,near,sidewalk,It is likely to see apartment near sidewalk.,0.0,0.87
high,building,near,sidewalk,It is likely to see building near sidewalk.,1.0,0.72
high,store,near,sidewalk,It is likely to see store near sidewalk.,0.0,0.95
high,restaurant,near,sidewalk,It is likely to see restaurant near sidewalk.,1.0,0.95
mid,house,near,sidewalk,It is NOT likely to see house near sidewalk.,1.0,0.81
mid,school,near,sidewalk,It is NOT likely to see school near sidewalk.,0.0,0.94
mid,hospital,near,sidewalk,It is NOT likely to see hospital near sidewalk.,0.0,0.95
mid,church,near,sidewalk,It is NOT likely to see church near sidewalk.,1.0,0.95
mid,park,near,sidewalk,It is NOT likely to see park near sidewalk.,1.0,0.75
mid,window,near,curtain,It is NOT likely to see window near curtain.,0.0,0.95
mid,window,near,sink,It is NOT likely to see window near sink.,1.0,0.51
high,wall,near,door,It is likely to see wall near door.,1.0,0.95
high,handle,near,door,It is likely to see handle near door.,0.0,0.93
high,knob,near,door,It is likely to see knob near door.,0.0,0.53
high,frame,near,door,It is likely to see frame near door.,1.0,0.57
high,doorstop,near,door,It is likely to see doorstop near door.,1.0,0.95
mid,table,near,door,It is NOT likely to see table near door.,1.0,0.51
mid,chair,near,door,It is NOT likely to see chair near door.,1.0,0.63
mid,closet,near,door,It is NOT likely to see closet near door.,1.0,0.65
mid,dresser,near,door,It is NOT likely to see dresser near door.,1.0,0.95
mid,window,near,hat,It is NOT likely to see window near hat.,0.0,0.68
mid,window,near,drawer,It is NOT likely to see window near drawer.,0.0,0.5
mid,window,near,vase,It is NOT likely to see window near vase.,0.0,0.91
mid,window,near,basket,It is NOT likely to see window near basket.,1.0,0.51
mid,window,near,box,It is NOT likely to see window near box.,1.0,0.67
high,sidewalk,near,street,It is likely to see sidewalk near street.,0.0,0.88
high,house,near,street,It is likely to see house near street.,0.0,0.95
high,building,near,street,It is likely to see building near street.,0.0,0.54
high,car,near,street,It is likely to see car near street.,1.0,0.95
high,bus,near,street,It is likely to see bus near street.,1.0,0.54
mid,school,near,street,It is NOT likely to see school near street.,1.0,0.73
mid,park,near,street,It is NOT likely to see park near street.,1.0,0.54
mid,river,near,street,It is NOT likely to see river near street.,1.0,0.95
mid,house,near,street,It is NOT likely to see house near street.,1.0,0.57
mid,mountain,near,street,It is NOT likely to see mountain near street.,1.0,0.95
mid,window,near,cabinet,It is NOT likely to see window near cabinet.,0.0,0.93
mid,window,near,refrigerator,It is NOT likely to see window near refrigerator.,1.0,0.95
high,flower,near,tree,It is likely to see flower near tree.,1.0,0.61
high,bush,near,tree,It is likely to see bush near tree.,0.0,0.73
high,garden,near,tree,It is likely to see garden near tree.,1.0,0.95
high,park,near,tree,It is likely to see park near tree.,1.0,0.95
high,house,near,tree,It is likely to see house near tree.,0.0,0.9
high,rock,near,mountain,It is likely to see rock near mountain.,0.0,0.88
high,rock,near,river,It is likely to see rock near river.,0.0,0.95
high,rock,near,stream,It is likely to see rock near stream.,1.0,0.94
high,rock,near,cliff,It is likely to see rock near cliff.,1.0,0.95
high,rock,near,boulder,It is likely to see rock near boulder.,1.0,0.58
mid,house,near,tree,It is NOT likely to see house near tree.,0.0,0.95
mid,car,near,tree,It is NOT likely to see car near tree.,1.0,0.95
mid,people,near,tree,It is NOT likely to see people near tree.,1.0,0.58
mid,lamp,near,tree,It is NOT likely to see lamp near tree.,1.0,0.95
mid,table,near,tree,It is NOT likely to see table near tree.,0.0,0.5
mid,rock,near,near people,It is NOT likely to see rock near people.,1.0,0.95
mid,rock,near,near water,It is NOT likely to see rock near water.,1.0,0.95
mid,rock,near,near fire,It is NOT likely to see rock near fire.,1.0,0.65
mid,rock,near,near air,It is NOT likely to see rock near air.,1.0,0.95
mid,rock,near,near dirt,It is NOT likely to see rock near dirt.,0.0,0.74
high,car,near,truck,It is likely to see car near truck.,1.0,0.57
high,car,near,motorcycle,It is likely to see car near motorcycle.,0.0,0.95
high,car,near,bicycle,It is likely to see car near bicycle.,1.0,0.63
high,car,near,scooter,It is likely to see car near scooter.,1.0,0.93
high,car,near,skateboard,It is likely to see car near skateboard.,1.0,0.63
mid,school,near,tree,It is NOT likely to see school near tree.,0.0,0.56
mid,store,near,tree,It is NOT likely to see store near tree.,1.0,0.8
mid,hospital,near,tree,It is NOT likely to see hospital near tree.,1.0,0.65
mid,car,near,bike,It is NOT likely to see car near bike.,1.0,0.85
mid,car,near,boat,It is NOT likely to see car near boat.,1.0,0.95
mid,car,near,house,It is NOT likely to see car near house.,1.0,0.63
mid,car,near,or person,It is NOT likely to see car near or person.,1.0,0.94
high,hair,near,head,It is likely to see hair near head.,0.0,0.95
high,hat,near,head,It is likely to see hat near head.,0.0,0.56
high,ear,near,head,It is likely to see ear near head.,1.0,0.61
high,eye,near,head,It is likely to see eye near head.,0.0,0.95
high,nose,near,head,It is likely to see nose near head.,1.0,0.54
mid,feet,near,head,It is NOT likely to see feet near head.,0.0,0.6
mid,legs,near,head,It is NOT likely to see legs near head.,1.0,0.95
mid,hands,near,head,It is NOT likely to see hands near head.,1.0,0.72
mid,arms,near,head,It is NOT likely to see arms near head.,1.0,0.54
mid,shoulders,near,head,It is NOT likely to see shoulders near head.,0.0,0.69
mid,tree,near,moon,It is NOT likely to see tree near moon.,1.0,0.56
mid,tree,near,computer,It is NOT likely to see tree near computer.,1.0,0.95
mid,tree,near,book,It is NOT likely to see tree near book.,0.0,0.5
mid,tree,near,cat,It is NOT likely to see tree near cat.,1.0,0.61
high,sign,near,pole,It is likely to see sign near pole.,1.0,0.57
high,flag,near,pole,It is likely to see flag near pole.,1.0,0.95
